"BROKEN","EPİC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","LambdaTest E-ticaret Testleri","1","0","API - Ürün Arama","0"
"0","","0","LambdaTest E-ticaret Testleri","1","0","API - Kategori Ürünlerini Görüntüleme","0"
"0","","0","LambdaTest E-ticaret Testleri","1","0","Ürün arama","0"
"0","","0","LambdaTest E-ticaret Testleri","1","0","Ürün kategorilerini görüntüleme","0"
