"DESCRİPTİON","DURATİON İN MS","NAME","PARENT SUİTE","START TİME","STATUS","STOP TİME","SUB SUİTE","SUİTE","TEST CLASS","TEST METHOD"
"","3052","API - Ürün Arama","","Mon Dec 23 12:56:58 CET 2024","passed","Mon Dec 23 12:57:01 CET 2024","","LambdaTest E-ticaret Testleri","API - Ürün Arama",""
"","1592","API - Kategori Ürünlerini Görüntüleme","","Mon Dec 23 12:57:01 CET 2024","passed","Mon Dec 23 12:57:02 CET 2024","","LambdaTest E-ticaret Testleri","API - Kategori Ürünlerini Görüntüleme",""
"","8149","Ürün arama","","Mon Dec 23 12:56:42 CET 2024","passed","Mon Dec 23 12:56:50 CET 2024","","LambdaTest E-ticaret Testleri","Ürün arama",""
"","7415","Ürün kategorilerini görüntüleme","","Mon Dec 23 12:56:50 CET 2024","passed","Mon Dec 23 12:56:58 CET 2024","","LambdaTest E-ticaret Testleri","Ürün kategorilerini görüntüleme",""
